stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\source\repos\Kursach\Corovans\Display\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.33804] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33811] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33817] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33825] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33831] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33839] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33845] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33852] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33859] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33866] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33872] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33880] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33886] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33894] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33901] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33908] Single Buffer requirement not met.
